Feature,P-Value,Drift Detected
radius1,0.8692618870414056,No
texture1,0.8692618870414056,No
perimeter1,0.8692618870414056,No
area1,0.7166468440414822,No
smoothness1,0.5486851446031328,No
compactness1,0.7166468440414822,No
concavity1,0.9977109764909107,No
concave_points1,0.7166468440414822,No
symmetry1,0.2719135601522248,No
fractal_dimension1,0.8692618870414056,No
radius2,0.9667464356809096,No
texture2,0.3959398631708505,No
perimeter2,0.7166468440414822,No
area2,0.7166468440414822,No
smoothness2,0.9667464356809096,No
compactness2,0.7166468440414822,No
concavity2,0.8692618870414056,No
concave_points2,0.9667464356809096,No
symmetry2,0.2719135601522248,No
fractal_dimension2,0.9667464356809096,No
radius3,0.8692618870414056,No
texture3,0.8692618870414056,No
perimeter3,0.8692618870414056,No
area3,0.8692618870414056,No
smoothness3,0.8692618870414056,No
compactness3,0.9977109764909107,No
concavity3,0.9977109764909107,No
concave_points3,0.9667464356809096,No
symmetry3,0.17858668181221732,No
fractal_dimension3,0.9977109764909107,No
